SiteCode,RefCode,Locality,State,Country,Latitude,Longitude,Precision,YearStart,YearEnd,Duration,SamplingEffort,StudyType,EcologicalScale,SamplingMethod,SamplingSeason,Vegetation,VegType,Ecoregion,Domain,Altitude,1kmAlt,AnnRain,MeaAnnTemp,PET,GAI
BPA063,BPR055,Maracá Ecological Reserve,Roraima,Brazil,3.396128,-61.706532,Not precise,1988,1988,1,NA,Plant visitation,Population,Direct observation and Pollen Collection,Wet,NA,Rainforest,Guianan piedmont and lowland moist forests,Amazonia,NA,215,2099,26.3,1566,1.3402
BPA064,BPR056,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Precise,1979,1980,2,NA,Bat diet,Population,Feces collection,Dry,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
BPA065,BPR057,Barro Colorado Island,Panama Oeste,Panama,9.1592,-79.8442,Precise,1976,1979,NA,NA,Bat diet,Population,Feces collection,Dry and Wet,NA,Rainforest,Isthmian-Atlantic moist forests,Mesoamerica,NA,123,2213,26.1,1682,1.3156
BPA066,BPR058,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1975,1976,8,NA,Bat diet,Population,Feces collection,Wet,Premontane Moist Forest,Rainforest,Central American dry forests,Mesoamerica,320,277,1636,26,2005,0.8157
BPA067,BPR059,1.5 km west of Cañas,Guanacaste,Costa Rica,10.42726,-85.10837,Not precise,1971,1972,4,NA,Plant visitation,Population,Pollen collection,Dry and Wet,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,67,2007,27.2,1954,1.0265
BPA068,BPR060,Finca La Pacifica - 4 km NW of Cañas,Guanacaste,Costa Rica,10.452035,-85.127443,Precise,1970,1972,NA,1331,Bat diet,Assemblage,Feces collection and Pollen collection,Dry and Wet,Dry forest,Deciduous forest,Central American dry forests,Mesoamerica,NA,46,1924,27.3,1963,0.9801
BPA069,BPR061,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1978,1978,2,NA,Plant visitation,Population,Direct observation,Dry,tropical moist forest,Rainforest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA070,BPR062,Henri Pittier National Park ,Aragua,Venezuela,10.349907,-67.684392,Precise,1982,1982,1,NA,Bat diet,Population,Experimental,Dry,NA,Cloud forest,Cordillera La Costa montane forests,Caribbean,NA,1119,856,20.4,1542,0.5551
BPA071,BPR063,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1996,1996,2,NA,Plant visitation,Population,Pollen collection,Wet,Seasonal forest,Deciduous forest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA072,BPR064,Parque Nacional Santa Rosa,Guanacaste,Costa Rica,10.8379308,-85.7051116,Not precise,1980,1981,8,NA,Bat diet,Population,Experimental,Wet,NA,Deciduous forest,Central American dry forests,Mesoamerica,NA,277,1636,26,2005,0.8157
BPA073,BPR065,Chamela Biological Station - UNAM,Jalisco,Mexico,19.499092,-105.044856,Precise,1989,1989,NA,NA,Bat diet,Assemblage,Experimental,NA,NA,Semi-arid thorny woodland,Jalisco dry forests,Mesoamerica,NA,86,942,25.2,1798,0.5236
