IDCode,SiteCode,RefCode,BatGenus,BatSpecies,CurrentBatSpecies,TrophicGuild,PlantFamily,PlantGenus,PlantSpecies,CurrentPlantSpecies,LifeForm,SuccessionalStage,Interaction,Weight
BPI0299,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Acanthaceae,Ruellia,Ruellia sp.,Ruellia sp.,Shrub,NA,Nectarivory,8
BPI0300,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Leguminosae,Inga,Inga sp.1,Inga sp.1,Tree,NA,Nectarivory,8
BPI0301,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Leguminosae,Inga,Inga sp.2,Inga sp.2,Tree,NA,Nectarivory,8
BPI0302,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,7
BPI0303,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,1
BPI0304,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Unidentified,Unidentified,Type 1,Unidentified sp. 1,NA,NA,Frugivory,2
BPI0305,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Unidentified,Unidentified,Type 2,Unidentified sp. 2,NA,NA,Frugivory,6
BPI0306,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Unidentified,Unidentified,Type 4,Unidentified sp. 3,NA,NA,Frugivory,1
BPI0307,BPA028,BPR024,Lonchophylla,Lonchophylla dekeyseri,Lonchophylla dekeyseri,Nectarivore,Unidentified,Unidentified,Type 5,Unidentified sp. 4,NA,NA,Frugivory,1
BPI0308,BPA029,BPR025,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Arecaceae,Calyptrogyne,Calyptrogyne ghiesberghtiana,Calyptrogyne ghiesbreghtiana,Palm-tree,Late,Nectarivory,1
BPI0309,BPA029,BPR025,Carollia,Carollia castanea,Carollia castanea,Frugivore,Arecaceae,Calyptrogyne,Calyptrogyne ghiesberghtiana,Calyptrogyne ghiesbreghtiana,Palm-tree,Late,Nectarivory,1
BPI0310,BPA029,BPR025,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Arecaceae,Calyptrogyne,Calyptrogyne ghiesberghtiana,Calyptrogyne ghiesbreghtiana,Palm-tree,Late,Nectarivory,8
BPI0311,BPA029,BPR025,Artibeus,Dermanura phaeotis or watsoni,Artibeus phaeotis or watsoni,Frugivore,Arecaceae,Calyptrogyne,Calyptrogyne ghiesberghtiana,Calyptrogyne ghiesbreghtiana,Palm-tree,Late,Nectarivory,2
BPI0312,BPA029,BPR025,Glossophaga,Glossophaga commissarisi,Glossophaga commissarisi,Nectarivore,Arecaceae,Calyptrogyne,Calyptrogyne ghiesberghtiana,Calyptrogyne ghiesbreghtiana,Palm-tree,Late,Nectarivory,8
BPI0313,BPA029,BPR025,Vampyriscus,Vampyressa nymphaea,Vampyriscus nymphaea,Frugivore,Arecaceae,Calyptrogyne,Calyptrogyne ghiesberghtiana,Calyptrogyne ghiesbreghtiana,Palm-tree,Late,Nectarivory,4
BPI0314,BPA030,BPR026,Artibeus,Artibeus cinereus,Artibeus cinereus,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,Early,Frugivory,1
BPI0315,BPA030,BPR026,Artibeus,Artibeus cinereus,Artibeus cinereus,Frugivore,Solanaceae,Solanum,Solanum asperum,Solanum asperum,Shrub,Early,Frugivory,2
BPI0316,BPA030,BPR026,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,12
BPI0317,BPA030,BPR026,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,Early,Frugivory,46
BPI0318,BPA030,BPR026,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,Early,Frugivory,25
BPI0319,BPA030,BPR026,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Solanum,Solanum rugosum,Solanum rugosum,Shrub,Early,Frugivory,20
BPI0320,BPA030,BPR026,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Solanum,Solanum subinerme,Solanum subinerme,Shrub,Early,Frugivory,10
BPI0321,BPA030,BPR026,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Solanum,Solanum asperum,Solanum asperum,Shrub,Early,Frugivory,4
BPI0322,BPA030,BPR026,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Solanum,Solanum surinamense,Solanum leucocarpon,Tree,Early,Frugivory,2
BPI0323,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,1
BPI0324,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,Early,Frugivory,1
BPI0325,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,Early,Frugivory,7
BPI0326,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Solanaceae,Solanum,Solanum rugosum,Solanum rugosum,Shrub,Early,Frugivory,8
BPI0327,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Solanaceae,Solanum,Solanum subinerme,Solanum subinerme,Shrub,Early,Frugivory,2
BPI0328,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Solanaceae,Solanum,Solanum asperum,Solanum asperum,Shrub,Early,Frugivory,1
BPI0329,BPA030,BPR026,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Solanaceae,Solanum,Solanum surinamense,Solanum leucocarpon,Tree,Early,Frugivory,3
BPI0330,BPA031,BPR027,Ametrida,Ametrida centurio,Ametrida centurio,Frugivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0331,BPA031,BPR027,Anoura,Anoura geoffroyi,Anoura geoffroyi,Nectarivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0332,BPA031,BPR027,Artibeus,Artibeus concolor,Artibeus concolor,Frugivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0333,BPA031,BPR027,Artibeus,Artibeus gnomus,Artibeus gnomus,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0334,BPA031,BPR027,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0335,BPA031,BPR027,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0336,BPA031,BPR027,Artibeus,Artibeus obscurus,Artibeus obscurus,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0337,BPA031,BPR027,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,NA
BPI0338,BPA031,BPR027,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Solanaceae,Solanum,Solanum sp.,Solanum sp.,NA,NA,Frugivory,NA
BPI0339,BPA031,BPR027,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,NA
BPI0340,BPA031,BPR027,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Solanaceae,Solanum,Solanum sp.,Solanum sp.,NA,NA,Frugivory,NA
BPI0341,BPA031,BPR027,Chiroderma,Chiroderma trinitatum,Chiroderma trinitatum,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,NA
BPI0342,BPA031,BPR027,Chiroderma,Chiroderma villosum,Chiroderma villosum,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,NA
BPI0343,BPA031,BPR027,Choeroniscus,Choeroniscus minor,Choeroniscus minor,Nectarivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0344,BPA031,BPR027,Mesophylla,Ectophylla maconelli,Mesophylla macconnelli,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0345,BPA031,BPR027,Glyphonycteris,Glyphonycteris silvestris,Glyphonycteris sylvestris, Foliage gleaner,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0346,BPA031,BPR027,Lionycteris,Lionycteris spurrelli,Lionycteris spurrelli,Nectarivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0347,BPA031,BPR027,Hsunycteris,Lonchophylla thomasi,Hsunycteris thomasi,Nectarivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0348,BPA031,BPR027,Phyllostomus,Phyllostomus discolor,Phyllostomus discolor,Omnivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0349,BPA031,BPR027,Phyllostomus,Phyllostomus elongatus,Phyllostomus elongatus,Omnivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0350,BPA031,BPR027,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0351,BPA031,BPR027,Phyllostomus,Phyllostomus latifolius,Phyllostomus latifolius,Omnivore,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0352,BPA031,BPR027,Platyrrhinus,Platyrrhinus helleri,Platyrrhinus sp.,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0353,BPA031,BPR027,Platyrrhinus,Rhinophylla pumilio,Platyrrhinus sp.,Frugivore,Araceae,Philodendron,Philodendron sp.,Philodendron sp.,Herb,NA,Frugivory,NA
BPI0354,BPA031,BPR027,Sturnira,Sturnira tildae,Sturnira tildae,Frugivore,Araceae,Philodendron,Philodendron sp.,Philodendron sp.,Herb,NA,Frugivory,NA
BPI0355,BPA031,BPR027,Sturnira,Sturnira tildae,Sturnira tildae,Frugivore,Urticaceae,Cecropia,Cecropia obtusa,Cecropia obtusa,Tree,Early,Frugivory,NA
BPI0356,BPA031,BPR027,Trinycteris,Trinycteris nicefori,Trinycteris nicefori,Foliage gleaner,Leguminosae,Eperua,Eperua falcata,Eperua falcata,Tree,Late,Nectarivory,NA
BPI0357,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Gesneriaceae,Drymonia,Drymonia rubra,Drymonia rubra,Vine,Late,Frugivory,1
BPI0358,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Solanaceae,Schultesianthus,Markea venosa,Schultesianthus venosus,Vine,Late,Frugivory,1
BPI0359,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Campanulaceae,Burmeistera,Burmeistera cyclostigma,Burmeistera cyclostigmata,Herb,NA,Frugivory,1
BPI0360,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Piperaceae,Piper,Piper amalago,Piper amalago,Shrub,Early,Frugivory,1
BPI0361,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Piperaceae,Piper,Piper bisasperatum,Piper bisasperatum,Shrub,Early,Frugivory,2
BPI0362,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Piperaceae,Piper,Piper dotanum,Piper dotanum,Shrub,Early,Frugivory,1
BPI0363,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Piperaceae,Piper,Piper epigynium,Piper epigynium,Shrub,Early,Frugivory,1
BPI0364,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Piperaceae,Piper,Piper lancaeifolium,Piper lanceifolium,Shrub,Early,Frugivory,2
BPI0365,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Solanaceae,Solanum,Solanum argenteum,Solanum argenteum,Shrub,Early,Frugivory,2
BPI0366,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Solanaceae,Solanum,Solanum nudum,Solanum nudum,Shrub,Early,Frugivory,76
BPI0367,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Solanaceae,Solanum,Solanum umbellatum,Solanum umbellatum,Shrub,Early,Frugivory,23
BPI0368,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,4
BPI0369,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Melastomataceae,Conostegia,Conostegia bernoulliana,Conostegia icosandra,Tree,NA,Frugivory,16
BPI0370,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Myrtaceae,Eugenia,Eugenia acapulcensis,Eugenia acapulcensis,Tree,Late,Frugivory,89
BPI0371,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Moraceae,Ficus,Ficus tuerckheimii,Ficus aurea,Tree,Late,Frugivory,18
BPI0372,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Moraceae,Ficus,Ficus yoponensis,Ficus yoponensis,Tree,Late,Frugivory,2
BPI0373,BPA032,BPR028,Artibeus,Artibeus toltecus,Artibeus toltecus,Frugivore,Actinidiaceae,Saurauia,Saurauia veraguasensis,Saurauia montana,Tree,Early,Frugivory,1
BPI0374,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Araceae,Anthurium,Anthurium sp.,Anthurium sp.,Vine,Late,Frugivory,2
BPI0375,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Cyclanthaceae,Asplundia,Asplundia vagans,Asplundia vagans,Vine,Late,Frugivory,1
BPI0376,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Gesneriaceae,Drymonia,Drymonia rubra,Drymonia rubra,Vine,Late,Frugivory,5
BPI0377,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Campanulaceae,Burmeistera,Burmeistera cyclostigmata,Burmeistera cyclostigmata,Herb,NA,Frugivory,1
BPI0378,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Araceae,Xanthosoma,Xanthosoma microrhiza,Xanthosoma sp.,Herb,Early,Frugivory,1
BPI0379,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper aequale,Piper aequale,Shrub,Early,Frugivory,6
BPI0380,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper amalago,Piper amalago,Shrub,Early,Frugivory,1
BPI0381,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper auritum,Piper auritum,Shrub,Early,Frugivory,31
BPI0382,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper bisasperatum,Piper bisasperatum,Shrub,Early,Frugivory,109
BPI0383,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper dotanum,Piper dotanum,Shrub,Early,Frugivory,4
BPI0384,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper epigynium,Piper epigynium,Shrub,Early,Frugivory,18
BPI0385,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper gibbosum,Piper gibbosum,Shrub,Early,Frugivory,8
BPI0386,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper glabrescens,Piper glabrescens,Shrub,Early,Frugivory,1
BPI0387,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper lancaeifolium,Piper lanceifolium,Shrub,Early,Frugivory,60
BPI0388,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper obliquum,Piper obliquum,Shrub,Early,Frugivory,3
BPI0389,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper phytolaccaefolium,Piper phytolaccifolium,Shrub,Early,Frugivory,6
BPI0390,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,17
BPI0391,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Piperaceae,Piper,Pothomorphe umbellata,Piper umbellatum,Shrub,NA,Frugivory,93
BPI0392,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum argenteum,Solanum argenteum,Shrub,Early,Frugivory,12
BPI0393,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum brenesii,Solanum rovirosanum,Shrub,Early,Frugivory,2
BPI0394,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum hispidum,Solanum asperolanatum,Shrub,Early,Frugivory,1
BPI0395,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum nudum,Solanum nudum,Shrub,Early,Frugivory,70
BPI0396,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum sp C.,Solanum sp.,Shrub,Late,Frugivory,1
BPI0397,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum umbellatum,Solanum umbellatum,Shrub,Early,Frugivory,77
BPI0398,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Solanum,Solanum sp.3,Solanum sp.,Shrub,Late,Frugivory,5
BPI0399,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,5
BPI0400,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Urticaceae,Cecropia,Cecropia polyphlebia,Cecropia angustifolia,Tree,Early,Frugivory,25
BPI0401,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Moraceae,Ficus,Ficus yoponensis,Ficus yoponensis,Tree,Late,Frugivory,1
BPI0402,BPA032,BPR028,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Actinidiaceae,Saurauia,Saurauia veraguasensis,Saurauia montana,Tree,Early,Frugivory,19
BPI0403,BPA033,BPR029,Anoura,Anoura geoffroyi,Anoura geoffroyi,Nectarivore,Asparagaceae,Manfreda,Manfreda brachystachys,Manfreda scabra,Herb,NA,Nectarivory,NA
BPI0404,BPA033,BPR029,Leptonycteris,Leptonycteris nivalis,Leptonycteris nivalis,Nectarivore,Asparagaceae,Manfreda,Manfreda brachystachys,Manfreda scabra,Herb,NA,Nectarivory,NA
BPI0405,BPA033,BPR029,Leptonycteris,Leptonycteris sanborni,Leptonycteris yerbabuenae,Nectarivore,Asparagaceae,Manfreda,Manfreda brachystachys,Manfreda scabra,Herb,NA,Nectarivory,NA
BPI0406,BPA034,BPR030,Choeronycteris,Choeronycteris mexicana,Choeronycteris mexicana,Nectarivore,Malvaceae,Pseudobombax,Pseudobombax ellipticum,Pseudobombax ellipticum,Tree,NA,Nectarivory,NA
BPI0407,BPA034,BPR030,Glossophaga,Glossophaga leachii,Glossophaga leachii,Nectarivore,Malvaceae,Pseudobombax,Pseudobombax ellipticum,Pseudobombax ellipticum,Tree,NA,Nectarivory,NA
BPI0408,BPA034,BPR030,Leptonycteris,Leptonycteris sanborni,Leptonycteris yerbabuenae,Nectarivore,Malvaceae,Pseudobombax,Pseudobombax ellipticum,Pseudobombax ellipticum,Tree,NA,Nectarivory,NA
BPI0409,BPA035,BPR031,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Solanaceae,Acnistus,Acnistus arborescens,Acnistus arborescens,Shrub,Early,Frugivory,NA
BPI0410,BPA035,BPR031,Sturnira,Sturnira ludovici,Sturnira ludovici,Frugivore,Solanaceae,Acnistus,Acnistus arborescens,Acnistus arborescens,Shrub,Early,Frugivory,NA
BPI0411,BPA036,BPR032,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,NA
BPI0412,BPA036,BPR032,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,NA
BPI0413,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus glabrata,Ficus insipida,Tree,Late,Frugivory,NA
BPI0414,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus hartwegii,Ficus hartwegii,Tree,NA,Frugivory,NA
BPI0415,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,NA
BPI0416,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus obtusifolia,Ficus obtusifolia,Tree,Early,Frugivory,NA
BPI0417,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus sp.1,Ficus sp.1,NA,NA,Frugivory,NA
BPI0418,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus sp.2,Ficus sp.2,NA,NA,Frugivory,NA
BPI0419,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Urticaceae,Cecropia,Cecropia obtusifolia,Cecropia obtusifolia,Tree,Early,Frugivory,NA
BPI0420,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Brosimum,Brosimum alicastrum,Brosimum alicastrum,Tree,Late,Frugivory,NA
BPI0421,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Poulsenia,Poulsenia armata,Poulsenia armata,Tree,Late,Frugivory,NA
BPI0422,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Pseudolmedia,Pseudolmedia oxyphyllaria,Pseudolmedia glabrata,Tree,Late,Frugivory,NA
BPI0423,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Lauraceae,Nectandra,Nectandra ambigens,Nectandra ambigens,Tree,Late,Frugivory,NA
BPI0424,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Sapotaceae,Pouteria,Pouteria campechiana,Pouteria campechiana,Tree,Late,Frugivory,NA
BPI0425,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Sapotaceae,Manilkara,Manilkara sapota,Manilkara zapota,Tree,Late,Frugivory,NA
BPI0426,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Sapotaceae,Pouteria,Pouteria unilocularis,Pouteria reticulata ,Tree,Late,Frugivory,NA
BPI0427,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Sapotaceae,Sideroxylon,Mastichodendrum capiri,Sideroxylon capiri,Tree,Late,Frugivory,NA
BPI0428,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Anacardiaceae,Spondias,Spondias mombin,Spondias mombin,Tree,Early,Frugivory,NA
BPI0429,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Leguminosae,Cynometra,Cynometra retusa,Cynometra retusa,Tree,NA,Frugivory,NA
BPI0430,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Cannabaceae,Trema,Trema micrantha,Trema micrantha,Tree,Early,Frugivory,NA
BPI0431,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Chrysobalanaceae,Licania,Licania sp.,Licania sp.,Tree,NA,Frugivory,NA
BPI0432,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Clusiaceae,Calophyllum,Calophyllum brasiliense,Calophyllum brasiliense,Tree,Late,Frugivory,NA
BPI0433,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Malvaceae,Quararibea,Quararibea funebris,Quararibea funebris,Tree,NA,Frugivory,NA
BPI0434,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Ebenaceae,Diospyros,Diospiros digina,Diospyros nigra,Tree,NA,Frugivory,NA
BPI0435,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Staphyleaceae,Turpinia,Turpinia pinata,Turpinia occidentalis,Tree,NA,Frugivory,NA
BPI0436,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Araceae,Anthurium,Anthurium sp.,Anthurium sp.,Vine,Late,Frugivory,NA
BPI0437,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Solanaceae,Solanum,Solanum sp.1,Solanum sp.1,NA,NA,Frugivory,NA
BPI0438,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Solanaceae,Solanum,Solanum sp.2,Solanum sp.2,NA,NA,Frugivory,NA
BPI0439,BPA037,BPR033,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Solanaceae,Solanum,Solanum sp.3,Solanum sp.3,NA,NA,Frugivory,NA
