IDCode,SiteCode,RefCode,BatGenus,BatSpecies,CurrentBatSpecies,TrophicGuild,PlantFamily,PlantGenus,PlantSpecies,CurrentPlantSpecies,LifeForm,SuccessionalStage,Interaction,Weight
BPI0033,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Urticaceae,Cecropia,Cecropia glaziovi,Cecropia glaziovii,Tree,Early,Frugivory,3
BPI0034,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,1
BPI0035,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Piperaceae,Piper,Piper crassinervium,Piper crassinervium,Shrub,Early,Frugivory,2
BPI0036,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI0037,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Solanaceae,Unidentified,Solanaceae sp.3,Unidentified sp.10,NA,NA,Frugivory,2
BPI0038,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Unidentified,Unidentified,Unidentified sp.1,Unidentified sp.1,NA,NA,Frugivory,2
BPI0039,BPA003,BPR003,Sturnira,Sturnira lilium,Sturnira lilium,Frugivore,Unidentified,Unidentified,Unidentified sp.6,Unidentified sp.6,NA,NA,Frugivory,2
BPI0040,BPA003,BPR003,Vampyressa,Vampyressa pusilla,Vampyressa pusilla,Frugivore,Unidentified,Unidentified,Unidentified sp.2,Unidentified sp.2,NA,NA,Frugivory,1
BPI0041,BPA003,BPR003,Vampyressa,Vampyressa pusilla,Vampyressa pusilla,Frugivore,Unidentified,Unidentified,Unidentified sp.3,Unidentified sp.3,NA,NA,Frugivory,1
BPI0042,BPA003,BPR003,Vampyressa,Vampyressa pusilla,Vampyressa pusilla,Frugivore,Unidentified,Unidentified,Unidentified sp.4,Unidentified sp.4,NA,NA,Frugivory,1
BPI0043,BPA003,BPR003,Vampyressa,Vampyressa pusilla,Vampyressa pusilla,Frugivore,Unidentified,Unidentified,Unidentified sp.5,Unidentified sp.5,NA,NA,Frugivory,1
BPI0044,BPA004,BPR004,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Moraceae,Ficus,Ficus eximia,Ficus eximia,Tree,NA,Frugivory,1
BPI0045,BPA004,BPR004,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,1
BPI0046,BPA004,BPR004,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Urticaceae,Cecropia,Cecropia sp.,Cecropia sp.,Tree,Early,Frugivory,1
BPI0047,BPA004,BPR004,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper aduncum,Piper aduncum,Shrub,Early,Frugivory,4
BPI0048,BPA004,BPR004,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI0049,BPA004,BPR004,Platyrrhinus,Platyrrhinus lineatus,Platyrrhinus lineatus,Frugivore,Moraceae,Ficus,Ficus eximia,Ficus eximia,Tree,NA,Frugivory,3
BPI0050,BPA004,BPR004,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Solanaceae,Solanum,Solanum wrightii,Solanum wrightii,Tree,NA,Frugivory,3
BPI0051,BPA005,BPR005,Leptonycteris,Leptonycteris nivalis,Leptonycteris nivalis,Nectarivore,Asparagaceae,Agave,Agave schottii,Agave schottii,Herb,NA,Nectarivory,NA
BPI0052,BPA005,BPR005,Leptonycteris,Leptonycteris nivalis,Leptonycteris nivalis,Nectarivore,Cactaceae,Carnegiea,Carnegiea gigantea,Carnegiea gigantea,Succulent,NA,Nectarivory,NA
BPI0053,BPA006,BPR006,Choeronycteris,Choeronycteris mexicana,Choeronycteris mexicana,Nectarivore,Cactaceae,Stenocereus,Stenocereus stellatus,Stenocereus stellatus,Succulent,Early,Nectarivory,NA
BPI0054,BPA006,BPR006,Leptonycteris,Leptonycteris curasoae,Leptonycteris yerbabuenae,Nectarivore,Cactaceae,Stenocereus,Stenocereus stellatus,Stenocereus stellatus,Succulent,Early,Nectarivory,NA
BPI0055,BPA006,BPR006,Leptonycteris,Leptonycteris nivalis,Leptonycteris nivalis,Nectarivore,Cactaceae,Stenocereus,Stenocereus stellatus,Stenocereus stellatus,Succulent,Early,Nectarivory,NA
BPI0056,BPA007,BPR007,Choeronycteris,Choeronycteris mexicana,Choeronycteris mexicana,Nectarivore,Asparagaceae,Agave,Agave macroacantha,Agave macroacantha,Herb,NA,Nectarivory,NA
BPI0057,BPA007,BPR007,Leptonycteris,Leptonycteris curasoae,Leptonycteris yerbabuenae,Nectarivore,Asparagaceae,Agave,Agave macroacantha,Agave macroacantha,Herb,NA,Nectarivory,NA
BPI0058,BPA008,BPR008,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,1
BPI0059,BPA008,BPR008,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,5
BPI0060,BPA008,BPR008,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,3
BPI0061,BPA008,BPR008,Carollia,Carollia castanea,Carollia benkeithi,Frugivore,Piperaceae,Piper,Photomorpha peltata,Piper peltatum,Shrub,Early,Frugivory,1
BPI0062,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Araceae,Anthurium,Anthurium sp.,Anthurium sp.,Vine,NA,Frugivory,1
BPI0063,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,4
BPI0064,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Urticaceae,Cecropia,Cecropia distachya,Cecropia distachya,Tree,Early,Frugivory,3
BPI0065,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Urticaceae,Cecropia,Cecropia ficifolia,Cecropia ficifolia,Tree,Early,Frugivory,1
BPI0066,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,2
BPI0067,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Photomorpha peltata,Piper peltatum,Shrub,Early,Frugivory,2
BPI0068,BPA008,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Unidentified,Unidentified,Unidentified,Unidentified sp.1,NA,NA,Frugivory,2
BPI0069,BPA008,BPR008,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Urticaceae,Cecropia,Cecropia membranacea,Cecropia membranacea,Tree,Early,Frugivory,1
BPI0070,BPA008,BPR008,Glossophaga,Glossophaga soricina,Glossophaga soricina,Nectarivore,Piperaceae,Piper,Photomorpha peltata,Piper peltatum,Shrub,Early,Frugivory,3
BPI0071,BPA008,BPR008,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Urticaceae,Cecropia,Cecropia membranacea,Cecropia membranacea,Tree,Early,Frugivory,1
BPI0072,BPA008,BPR008,Platyrrhinus,Platyrrhinus helleri,Platyrrhinus sp.,Frugivore,Urticaceae,Cecropia,Cecropia membranacea,Cecropia membranacea,Tree,Early,Frugivory,1
BPI0073,BPA008,BPR008,Platyrrhinus,Platyrrhinus helleri,Platyrrhinus sp.,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,1
BPI0074,BPA008,BPR008,Sturnira,Sturnira lilium,Sturnira giannae,Frugivore,Solanaceae,Solanum,Solanum lanceolatum,Solanum lanceolatum,Shrub,NA,Frugivory,1
BPI0075,BPA008,BPR008,Uroderma,Uroderma bilobatum,Uroderma bilobatum,Frugivore,Clusiaceae,Clusia,Havetiopsis flavida,Clusia flavida,Shrub,Late,Frugivory,1
BPI0076,BPA008,BPR008,Uroderma,Uroderma bilobatum,Uroderma bilobatum,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,3
BPI0077,BPA008,BPR008,Uroderma,Uroderma bilobatum,Uroderma bilobatum,Frugivore,Piperaceae,Piper,Photomorpha peltata,Piper peltatum,Shrub,Early,Frugivory,1
BPI0078,BPA008,BPR008,Uroderma,Uroderma magnirostrum,Uroderma magnirostrum,Frugivore,Piperaceae,Piper,Photomorpha peltata,Piper peltatum,Shrub,Early,Frugivory,1
BPI0079,BPA008,BPR008,Vampyressa,Vampyressa pusilla,Vampyressa thyone,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI0080,BPA009,BPR008,Artibeus,Artibeus jamaicensis,Artibeus planirostris,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI0081,BPA009,BPR008,Artibeus,Artibeus lituratus,Artibeus lituratus,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,1
BPI0082,BPA009,BPR008,Artibeus,Artibeus obscurus,Artibeus obscurus,Frugivore,Urticaceae,Cecropia,Cecropia membranacea,Cecropia membranacea,Tree,Early,Frugivory,2
BPI0083,BPA009,BPR008,Artibeus,Artibeus obscurus,Artibeus obscurus,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,2
BPI0084,BPA009,BPR008,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,1
BPI0085,BPA009,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,3
BPI0086,BPA009,BPR008,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,2
BPI0087,BPA009,BPR008,Platyrrhinus,Platyrrhinus helleri,Platyrrhinus sp.,Frugivore,Urticaceae,Cecropia,Cecropia ficifolia,Cecropia ficifolia,Tree,Early,Frugivory,1
BPI0088,BPA009,BPR008,Platyrrhinus,Platyrrhinus helleri,Platyrrhinus sp.,Frugivore,Urticaceae,Cecropia,Cecropia membranacea,Cecropia membranacea,Tree,Early,Frugivory,2
BPI0089,BPA009,BPR008,Rhinophylla,Rhinophylla pumilio,Rhinophylla pumilio,Frugivore,Piperaceae,Piper,Piper sp.,Piper sp.,Shrub,NA,Frugivory,1
BPI0090,BPA009,BPR008,Rhinophylla,Rhinophylla pumilio,Rhinophylla pumilio,Frugivore,Unidentified,Unidentified,Unidentified,Unidentified sp.2,NA,NA,Frugivory,2
BPI0091,BPA009,BPR008,Uroderma,Uroderma bilobatum,Uroderma bilobatum,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,2
BPI0092,BPA009,BPR008,Vampyressa,Vampyressa pusilla,Vampyressa thyone,Frugivore,Moraceae,Ficus,Ficus sp.,Ficus sp.,NA,NA,Frugivory,1
BPI0093,BPA009,BPR008,Vampyressa,Vampyressa pusilla,Vampyressa thyone,Frugivore,Hypericaceae,Vismia,Vismia sp.,Vismia sp.,NA,NA,Frugivory,1
BPI0094,BPA010,BPR009,Carollia,Carollia brevicauda,Carollia brevicauda,Frugivore,Hypericaceae,Vismia,Vismia macrophylla,Vismia macrophylla,Tree,Early,Frugivory,NA
BPI0095,BPA010,BPR009,Carollia,Carollia perspicillata,Carollia perspicillata,Frugivore,Hypericaceae,Vismia,Vismia macrophylla,Vismia macrophylla,Tree,Early,Frugivory,NA
BPI0096,BPA010,BPR009,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,Omnivore,Urticaceae,Cecropia,Cecropia distachya,Cecropia distachya,Tree,Early,Frugivory,NA
BPI0097,BPA011,BPR010,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus trigonata,Ficus trigonata,Tree,Late,Frugivory,NA
BPI0098,BPA012,BPR011,Artibeus,Artibeus jamaicensis,Artibeus jamaicensis,Frugivore,Moraceae,Ficus,Ficus insipida,Ficus insipida,Tree,Late,Frugivory,NA
