"Species","Category","Code"
"Pseudolmedia glabrata","Least Concern","LC"
"Nectandra ambigens","Not Evaluated","NE"
"Pouteria campechiana","Least Concern","LC"
"Pouteria reticulata ","Not Evaluated","NE"
"Sideroxylon capiri","Not Evaluated","NE"
"Spondias mombin","Least Concern","LC"
"Cynometra retusa","Least Concern","LC"
"Trema micrantha","Not Evaluated","NE"
"Licania sp.","Not Evaluated","NE"
"Calophyllum brasiliense","Least Concern","LC"
"Quararibea funebris","Not Evaluated","NE"
"Diospyros nigra","Least Concern","LC"
"Turpinia occidentalis","Least Concern","LC"
"Solanum sp.1","Not Evaluated","NE"
"Solanum sp.2","Not Evaluated","NE"
"Solanum sp.3","Not Evaluated","NE"
"Piper hispidum","Least Concern","LC"
"Piper lapathifolium","Not Evaluated","NE"
"Piper sanctum","Least Concern","LC"
"Solanum sycophanta","Least Concern","LC"
"Ficus luschnathiana","Least Concern","LC"
"Ficus enormis","Least Concern","LC"
"Bauhinia ungulata","Least Concern","LC"
"Piper jacquemontianum","Not Evaluated","NE"
"Piper tuberculatum ","Not Evaluated","NE"
"Acacia collinsii","Not Evaluated","NE"
"Karwinskia calderonii","Not Evaluated","NE"
"Clidemia octona","Not Evaluated","NE"
"Licania arborea","Not Evaluated","NE"
"Pachira quinata","Not Evaluated","NE"
"Ceiba pentandra","Least Concern","LC"
"Maclura tinctoria","Least Concern","LC"
"Solanum hazenii","Least Concern","LC"
"Pachycereus pringlei","Least Concern","LC"
"Stenocereus thurberi","Least Concern","LC"
"Lophocereus schottii","Not Evaluated","NE"
"Syagrus romanzoffiana","Not Evaluated","NE"
"Terminalia catappa","Least Concern","LC"
"Eriobotrya japonica","Not Evaluated","NE"
"Chrysophyllum gonocarpum","Least Concern","LC"
"Plinia cauliflora","Least Concern","LC"
"Solanum pseudoquina","Not Evaluated","NE"
"Carica papaya","Data Deficient","DD"
"Miconia sp.","Not Evaluated","NE"
"Ficus sp.3","Not Evaluated","NE"
"Psidium sp.1","Not Evaluated","NE"
"Psidium sp.2","Not Evaluated","NE"
"Sacoglottis guianensis","Least Concern","LC"
"Piper tucumanum","Not Evaluated","NE"
"Piper hieronymi","Not Evaluated","NE"
"Solanum aligerum","Least Concern","LC"
"Solanum trichoneuron","Not Evaluated","NE"
"Solanum symmetricum","Least Concern","LC"
"Solanum riparium","Least Concern","LC"
"Solanum tenuispinum","Not Evaluated","NE"
"Solanum confusum","Not Evaluated","NE"
"Solanum pseudocapsicum","Not Evaluated","NE"
"Eriolarynx lorentzii","Not Evaluated","NE"
"Celtis iguanaea","Least Concern","LC"
"Randia armata","Least Concern","LC"
"Quararibea sp.","Not Evaluated","NE"
"Calophyllum longifolium","Least Concern","LC"
"Trichilia sp.","Not Evaluated","NE"
"Ficus matiziana","Least Concern","LC"
"Ficus citrifolia","Least Concern","LC"
"Ficus costaricana","Least Concern","LC"
"Ficus nymphaeifolia","Least Concern","LC"
"Ficus tonduzii","Not Evaluated","NE"
"Passiflora punctata","Not Evaluated","NE"
"Piper dilatatum","Not Evaluated","NE"
"Piper grande","Least Concern","LC"
"Gustavia superba","Least Concern","LC"
"Eugenia sp.","Not Evaluated","NE"
"Piper colonense","Not Evaluated","NE"
"Guettarda foliacea","Not Evaluated","NE"
"Ficus pertusa","Least Concern","LC"
"Ficus colubrinae","Not Evaluated","NE"
"Gurania sp.","Not Evaluated","NE"
"Ficus paraensis","Least Concern","LC"
"Hymenaea stigonocarpa","Not Evaluated","NE"
"Neobuxbaumia tetetzo","Least Concern","LC"
"Coussapoa villosa","Least Concern","LC"
"Cecropia sciadophylla","Not Evaluated","NE"
"Gurania acuminata","Not Evaluated","NE"
"Solanum jamaicense","Least Concern","LC"
"Physalis sp.","Not Evaluated","NE"
"Ficus sp.4","Not Evaluated","NE"
"Marcgravia sp.2","Not Evaluated","NE"
"Souroubea guianensis","Not Evaluated","NE"
"Philodendron cuneatum","Not Evaluated","NE"
"Phytolacca rivinoides","Not Evaluated","NE"
"Marcgravia sp.1","Not Evaluated","NE"
"Pseudanamomis umbellulifera","Not Evaluated","NE"
"Andira inermis","Least Concern","LC"
"Annona muricata","Least Concern","LC"
"Annona squamosa","Least Concern","LC"
"Bactris sp.","Not Evaluated","NE"
"Byrsonima spicata","Least Concern","LC"
"Pouteria sapota","Not Evaluated","NE"
"Chrysobalanus icaco","Least Concern","LC"
"Chrysophyllum cainito","Not Evaluated","NE"
"Coccoloba uvifera","Least Concern","LC"
"Coffea sp.","Not Evaluated","NE"
"Cordia bicolor","Least Concern","LC"
"Cordia collococca","Least Concern","LC"
"Diospyros discolor","Not Evaluated","NE"
"Dipteryx odorata","Data Deficient","DD"
"Epiphyllum hookeri","Least Concern","LC"
"Syzygium malaccense","Least Concern","LC"
"Ficus benjamina","Least Concern","LC"
"Flacourtia indica","Least Concern","LC"
"Hylocereus lemairei","Not Evaluated","NE"
"Malpighia glabra","Least Concern","LC"
"Mammea americana","Not Evaluated","NE"
"Mangifera indica","Data Deficient","DD"
"Manilkara bidentata","Not Evaluated","NE"
"Melicoccus bijugatus","Not Evaluated","NE"
"Mimusops elengi","Least Concern","LC"
"Musa sp.","Not Evaluated","NE"
"Persea americana","Least Concern","LC"
"Pimenta racemosa","Not Evaluated","NE"
"Pouteria multiflora","Not Evaluated","NE"
"Putranjiva roxburghii","Not Evaluated","NE"
"Sapindus saponaria","Least Concern","LC"
"Sideroxylon foetidissimum","Not Evaluated","NE"
"Spondias dulcis","Not Evaluated","NE"
"Vitis vinifera","Least Concern","LC"
"Cereus hexagonus","Least Concern","LC"
"Passiflora quadrangularis","Not Evaluated","NE"
"Roystonea oleracea","Not Evaluated","NE"
"Caryocar brasiliense","Least Concern","LC"
"Bauhinia pauletia","Least Concern","LC"
"Crescentia sp.","Not Evaluated","NE"
"Inga vera","Least Concern","LC"
"Piper tuberculatum","Not Evaluated","NE"
"Ceiba aesculifolia","Least Concern","LC"
"Solanum hirtum","Not Evaluated","NE"
"Vriesea platynema","Not Evaluated","NE"
"Helicteres baruensis","Least Concern","LC"
"Conostegia volcanalis","Not Evaluated","NE"
"Solanum aphyodendron","Least Concern","LC"
"Solanum nigricans","Least Concern","LC"
"Ipomoea sp.","Not Evaluated","NE"
"Cordia sp.","Not Evaluated","NE"
"Ceiba sp.","Not Evaluated","NE"
"Combretum sp.","Not Evaluated","NE"
"Bauhinia multinervia","Not Evaluated","NE"
"Parkia nitida","Least Concern","LC"
"Parkia igneiflora","Least Concern","LC"
"Parkia cachimboensis","Not Evaluated","NE"
"Parkia platycephala","Least Concern","LC"
"Bombax sp.","Not Evaluated","NE"
"Genipa sp.","Not Evaluated","NE"
"Muntingia sp.","Not Evaluated","NE"
"Hymenaea sp.","Not Evaluated","NE"
"Brosimum sp.","Not Evaluated","NE"
"Heisteria sp.","Not Evaluated","NE"
"Mangifera sp.","Not Evaluated","NE"
"Inga sp.","Not Evaluated","NE"
"Tabernaemontana sp.","Not Evaluated","NE"
"Acnistus sp.","Not Evaluated","NE"
