provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
Frugivory,,eats,http://purl.obolibrary.org/obo/RO_0002470
Nectarivory,,eats,http://purl.obolibrary.org/obo/RO_0002470
